dataset,task,model,metric,cv_mean,cv_std,train_time,original_metric,cleaned_metric,improvement
iris,classification,LogisticRegression,1.0,1.0,0.0,0.0215191841125488,1.0,1.0,0.0
iris,classification,RandomForestClassifier,1.0,1.0,0.0,0.1218359470367431,1.0,1.0,0.0
iris,classification,KNeighborsClassifier,1.0,1.0,0.0,0.0021150112152099,1.0,1.0,0.0
iris,classification,DecisionTreeClassifier,1.0,1.0,0.0,0.0031235218048095,1.0,1.0,0.0
wine,classification,LogisticRegression,0.9428571428571428,0.9590643274853802,0.036049204695725,0.1617565155029297,0.9722,0.9429,-0.0293
wine,classification,RandomForestClassifier,0.9714285714285714,0.9824561403508772,0.0143245014197846,0.1325907707214355,1.0,0.9714,-0.0286
wine,classification,KNeighborsClassifier,0.7142857142857143,0.6842105263157894,0.0744322927564787,0.0024569034576416,0.7222,0.7143,-0.0079
wine,classification,DecisionTreeClassifier,0.9714285714285714,0.8888888888888888,0.0578917832550389,0.0042049884796142,0.9444,0.9714,0.027
breast_cancer,classification,LogisticRegression,0.9393939393939394,0.9269360269360268,0.0254782281648385,0.0088605880737304,0.7931,0.9394,0.1463
breast_cancer,classification,RandomForestClassifier,0.9393939393939394,0.9453423120089788,0.0255542518004566,0.1854901313781738,0.7069,0.9394,0.2325
breast_cancer,classification,KNeighborsClassifier,0.8787878787878788,0.8842873176206508,0.0338941289252041,0.0024993419647216,0.7241,0.8788,0.1547
breast_cancer,classification,DecisionTreeClassifier,0.9090909090909092,0.902581369248036,0.0165070943307297,0.0029399394989013,0.6379,0.9091,0.2712
spambase,classification,LogisticRegression,0.944,0.9300554118626704,0.0088135077114918,0.543872594833374,0.9197,0.944,0.0243
spambase,classification,RandomForestClassifier,0.9794285714285714,0.959083255062236,0.019726444162556,0.5346047878265381,0.9555,0.9794,0.0239
spambase,classification,KNeighborsClassifier,0.8228571428571428,0.7894918035509849,0.0286306050782254,0.0026350021362304,0.7904,0.8229,0.0325
spambase,classification,DecisionTreeClassifier,0.9394285714285714,0.9190846089406748,0.019069472567323,0.0660879611968994,0.9186,0.9394,0.0208
adult,classification,LogisticRegression,0.8687862730254857,0.8704671057612234,0.0053019399955032,1.7762959003448486,0.8078,0.8688,0.061
adult,classification,RandomForestClassifier,0.961771385314156,0.9589926060514296,0.0031228643973677,2.26284408569336,0.8552,0.9618,0.1066
adult,classification,KNeighborsClassifier,0.839894019682059,0.8336740101445983,0.0018860763561263,0.0576186180114746,0.7775,0.8399,0.0624
adult,classification,DecisionTreeClassifier,0.941963159222811,0.9381482322658792,0.002913122245078,0.1240396499633789,0.8104,0.942,0.1316
connect_4,classification,LogisticRegression,0.704586524395491,0.6475574257623323,0.0366041565781487,1.655301809310913,0.6588,0.7046,0.0458
connect_4,classification,RandomForestClassifier,0.8808192066087256,0.6159572758545967,0.0898205769044186,5.0006654262542725,0.812,0.8808,0.0688
connect_4,classification,KNeighborsClassifier,0.8215299888133551,0.5957179640268213,0.0168527910539322,0.0115594863891601,0.7317,0.8215,0.0898
connect_4,classification,DecisionTreeClassifier,0.8239394200154893,0.5497642118898182,0.081465951292219,0.2592113018035888,0.732,0.8239,0.0919
cars,classification,LogisticRegression,0.717948717948718,0.7721455103359173,0.0406298561470047,0.1885764598846435,0.7089,0.7179,0.009
cars,classification,RandomForestClassifier,0.8589743589743589,0.9119024547803618,0.0318985500889917,0.1654887199401855,0.962,0.859,-0.103
cars,classification,KNeighborsClassifier,0.7051282051282052,0.7018733850129198,0.0613678090339813,0.0022799968719482,0.6835,0.7051,0.0216
cars,classification,DecisionTreeClassifier,0.8589743589743589,0.8601017441860465,0.025322938192892,0.0035667419433593,0.9241,0.859,-0.0651
cpu,regression,LinearRegression,0.9780117773907854,0.9671468529546244,0.2730702939559746,0.0074868202209472,8.8765,0.978,-7.8985
cpu,regression,Lasso,0.9868928533049556,0.9910877434672736,0.3119697064461749,0.0073635578155517,8.8762,0.9869,-7.8893
cpu,regression,RandomForestRegressor,3.124073531236329,2.44437882792836,1.473283634068487,1.450473070144653,2.4607,3.1241,0.6634
esl,regression,LinearRegression,0.5040210707112052,0.4975208379689493,0.1712007880217788,0.0026895999908447,0.5269,0.504,-0.0229
esl,regression,Lasso,0.5258650355032641,0.5105826698849878,0.2086625301319323,0.0020210742950439,0.5442,0.5259,-0.0183
esl,regression,RandomForestRegressor,0.5194398229508372,0.5470571134714899,0.2110784470504182,0.11907958984375,0.6371,0.5194,-0.1177
satellite,regression,LinearRegression,0.8511796209016798,0.8582405258494227,0.2007272190912998,0.0104775428771972,1.2063,0.8512,-0.3551
satellite,regression,Lasso,0.8575184909553303,0.8592529916055174,0.2046884860306568,0.0369894504547119,1.2076,0.8575,-0.3501
satellite,regression,RandomForestRegressor,0.4163552226671546,0.476825342108398,0.0754636189421952,3.650892496109009,0.6997,0.4164,-0.2833
mv,regression,LinearRegression,0.7854982044855432,0.7875391648559086,0.1338105231906765,0.0028698444366455,4.4742,0.7855,-3.6887
mv,regression,Lasso,0.8629197198874008,0.8716633474680316,0.1455808337273944,0.014611005783081,4.489,0.8629,-3.6261
mv,regression,RandomForestRegressor,0.0753107037273011,0.1164651272547845,0.081661614575944,7.00911545753479,0.1155,0.0753,-0.0402
